customer_age_days,previous_orders,previous_returns,previous_refunds,return_ratio,refund_ratio,order_value,days_since_purchase,account_count,address_reuse_count,device_reuse_count,payment_failures,claim_type,product_category,is_abuse
292,7,3,3,0.42857142857142855,0.42857142857142855,777.4,14,3,2,0,1,wrong_item,home,1
659,10,2,0,0.2,0.0,1445.11,34,3,1,1,0,not_as_described,beauty,0
344,11,3,1,0.2727272727272727,0.09090909090909091,953.71,22,1,4,0,0,not_as_described,fashion,0
929,16,2,1,0.125,0.0625,1217.49,45,1,0,4,0,not_as_described,home,0
581,12,2,1,0.16666666666666666,0.08333333333333333,10484.9,27,2,4,1,0,not_as_described,beauty,0
462,6,1,2,0.16666666666666666,0.3333333333333333,3922.96,35,1,0,0,2,wrong_item,home,0
726,8,4,4,0.5,0.5,5823.84,41,1,3,2,0,damaged,grocery,0
569,10,2,2,0.2,0.2,300.0,51,1,2,1,0,damaged,home,1
90,10,0,4,0.0,0.4,1788.36,38,1,1,1,2,changed_mind,fashion,0
125,14,2,2,0.14285714285714285,0.14285714285714285,1494.28,43,2,1,3,1,wrong_item,grocery,0
54,12,3,0,0.25,0.0,2881.65,1,1,0,1,0,missing_item,home,0
1174,8,5,2,0.625,0.25,638.28,28,1,2,0,0,damaged,grocery,0
308,5,1,1,0.2,0.2,5972.07,38,1,2,2,0,changed_mind,fashion,0
424,19,2,0,0.10526315789473684,0.0,5495.16,5,1,1,2,1,wrong_item,electronics,0
976,16,2,3,0.125,0.1875,716.31,50,1,0,1,0,changed_mind,electronics,0
1042,11,6,2,0.5454545454545454,0.18181818181818182,2817.0,47,3,1,1,1,changed_mind,fashion,0
657,16,1,3,0.0625,0.1875,598.68,12,3,3,0,0,not_as_described,beauty,0
1442,15,2,1,0.13333333333333333,0.06666666666666667,1695.3,50,1,1,1,1,damaged,grocery,0
553,11,0,2,0.0,0.18181818181818182,980.94,29,1,1,2,0,changed_mind,grocery,0
339,13,3,0,0.23076923076923078,0.0,578.29,19,2,2,1,0,changed_mind,grocery,0
1092,18,1,0,0.05555555555555555,0.0,2715.08,6,1,2,0,1,missing_item,fashion,1
870,11,4,0,0.36363636363636365,0.0,2342.64,8,1,0,1,1,changed_mind,grocery,0
298,14,0,0,0.0,0.0,1357.64,52,3,1,0,0,changed_mind,fashion,0
1448,19,1,1,0.05263157894736842,0.05263157894736842,1062.13,10,1,0,2,0,changed_mind,beauty,0
210,15,2,1,0.13333333333333333,0.06666666666666667,1447.38,38,1,1,3,0,missing_item,electronics,0
1172,14,3,1,0.21428571428571427,0.07142857142857142,1546.37,49,1,1,2,0,wrong_item,fashion,1
1260,12,0,3,0.0,0.25,2629.58,10,1,1,1,0,not_as_described,grocery,0
428,14,0,1,0.0,0.07142857142857142,617.62,2,1,1,1,0,changed_mind,home,0
716,8,1,1,0.125,0.125,1779.9,17,1,3,2,1,not_as_described,fashion,0
753,13,1,2,0.07692307692307693,0.15384615384615385,926.12,31,1,0,3,0,wrong_item,electronics,0
173,4,2,2,0.5,0.5,3234.7,13,1,1,1,0,damaged,fashion,1
1495,13,3,2,0.23076923076923078,0.15384615384615385,2831.46,33,1,2,0,0,missing_item,electronics,0
348,11,3,1,0.2727272727272727,0.09090909090909091,1199.6,49,4,2,0,0,wrong_item,grocery,0
679,18,1,1,0.05555555555555555,0.05555555555555555,1161.05,23,1,1,1,0,damaged,electronics,0
1347,9,1,2,0.1111111111111111,0.2222222222222222,993.32,3,1,0,2,0,changed_mind,beauty,0
1207,17,1,1,0.058823529411764705,0.058823529411764705,2991.6,50,2,1,1,0,changed_mind,electronics,1
1154,13,1,2,0.07692307692307693,0.15384615384615385,1909.74,47,1,2,2,0,wrong_item,grocery,1
145,14,0,1,0.0,0.07142857142857142,1108.49,44,1,2,1,0,damaged,home,0
1172,9,3,2,0.3333333333333333,0.2222222222222222,1931.87,54,2,1,0,0,damaged,home,1
1361,17,1,2,0.058823529411764705,0.11764705882352941,3007.49,58,1,1,2,0,damaged,home,1
935,18,1,1,0.05555555555555555,0.05555555555555555,1434.82,9,1,1,1,0,wrong_item,beauty,0
1457,14,2,1,0.14285714285714285,0.07142857142857142,2741.67,7,1,2,2,0,wrong_item,beauty,0
225,13,0,0,0.0,0.0,670.79,35,1,0,1,0,damaged,fashion,0
1254,14,2,1,0.14285714285714285,0.07142857142857142,588.93,19,2,1,3,0,changed_mind,home,0
488,12,3,0,0.25,0.0,1333.55,58,1,2,1,1,damaged,electronics,0
1009,7,0,0,0.0,0.0,2938.36,48,1,3,3,0,not_as_described,fashion,0
1016,13,0,2,0.0,0.15384615384615385,5126.15,1,1,0,2,1,wrong_item,home,0
724,18,1,0,0.05555555555555555,0.0,1057.85,23,1,5,0,1,wrong_item,grocery,0
1400,8,1,2,0.125,0.25,1848.17,32,1,1,3,0,not_as_described,home,1
1292,17,2,2,0.11764705882352941,0.11764705882352941,3530.13,31,1,0,2,1,not_as_described,fashion,0
330,13,4,2,0.3076923076923077,0.15384615384615385,967.31,21,1,1,1,1,changed_mind,home,1
477,10,3,1,0.3,0.1,26586.02,33,1,2,0,0,changed_mind,electronics,0
1207,6,1,2,0.16666666666666666,0.3333333333333333,1065.74,56,1,2,1,0,changed_mind,electronics,0
641,14,4,2,0.2857142857142857,0.14285714285714285,1512.65,36,1,1,1,0,wrong_item,beauty,0
67,17,1,0,0.058823529411764705,0.0,2705.73,21,1,0,1,0,not_as_described,beauty,0
338,12,2,0,0.16666666666666666,0.0,370.0,35,1,2,1,2,damaged,fashion,0
898,20,0,2,0.0,0.1,1053.91,22,1,2,1,2,changed_mind,beauty,0
862,16,3,1,0.1875,0.0625,435.16,38,1,2,1,1,not_as_described,home,0
311,15,1,2,0.06666666666666667,0.13333333333333333,780.79,12,1,3,2,0,wrong_item,beauty,1
919,12,3,1,0.25,0.08333333333333333,2710.42,20,1,1,1,3,wrong_item,fashion,1
679,4,2,2,0.5,0.5,732.48,5,1,1,3,1,missing_item,electronics,1
1285,8,2,0,0.25,0.0,1248.92,23,1,1,0,2,wrong_item,fashion,0
438,13,0,3,0.0,0.23076923076923078,1060.81,9,1,4,2,2,changed_mind,grocery,1
1098,17,1,1,0.058823529411764705,0.058823529411764705,2423.06,45,1,4,1,2,changed_mind,grocery,1
557,11,5,2,0.45454545454545453,0.18181818181818182,1149.99,13,1,1,2,0,changed_mind,electronics,1
1339,12,1,0,0.08333333333333333,0.0,2025.87,26,1,2,1,1,wrong_item,beauty,0
1359,13,2,1,0.15384615384615385,0.07692307692307693,979.41,2,1,0,1,2,changed_mind,beauty,0
682,7,3,2,0.42857142857142855,0.2857142857142857,4104.49,54,1,0,4,0,missing_item,beauty,1
1016,6,2,1,0.3333333333333333,0.16666666666666666,986.27,36,1,1,1,0,wrong_item,electronics,0
215,9,1,0,0.1111111111111111,0.0,2609.8,18,1,1,1,0,missing_item,grocery,0
1203,14,1,2,0.07142857142857142,0.14285714285714285,1184.92,29,3,0,3,0,not_as_described,grocery,1
771,10,2,0,0.2,0.0,1241.93,37,1,2,4,1,damaged,grocery,1
1347,9,3,1,0.3333333333333333,0.1111111111111111,915.42,40,1,2,2,0,wrong_item,beauty,1
938,10,2,1,0.2,0.1,1090.33,24,2,1,0,0,changed_mind,beauty,0
1204,15,3,2,0.2,0.13333333333333333,1921.17,11,1,1,1,0,changed_mind,electronics,0
1257,16,1,0,0.0625,0.0,1320.72,10,2,0,2,0,not_as_described,grocery,0
104,7,1,0,0.14285714285714285,0.0,3886.97,52,1,2,3,0,not_as_described,fashion,1
105,11,4,2,0.36363636363636365,0.18181818181818182,3657.48,8,1,0,3,0,changed_mind,home,1
1434,17,2,4,0.11764705882352941,0.23529411764705882,3259.87,25,1,2,1,1,damaged,beauty,0
332,13,1,1,0.07692307692307693,0.07692307692307693,3192.98,2,2,1,0,0,not_as_described,grocery,0
471,10,3,3,0.3,0.3,1785.88,5,1,0,2,1,wrong_item,electronics,1
1138,14,2,0,0.14285714285714285,0.0,2725.82,56,1,0,2,1,not_as_described,beauty,0
1381,9,4,1,0.4444444444444444,0.1111111111111111,1439.45,46,1,1,1,1,missing_item,fashion,1
670,12,1,1,0.08333333333333333,0.08333333333333333,1498.76,33,3,1,1,2,damaged,electronics,0
968,10,0,2,0.0,0.2,636.1,55,1,0,1,2,changed_mind,beauty,0
1198,11,1,1,0.09090909090909091,0.09090909090909091,2390.27,28,2,0,1,1,changed_mind,beauty,0
1471,18,3,0,0.16666666666666666,0.0,1684.91,34,1,0,4,0,not_as_described,grocery,0
53,9,4,0,0.4444444444444444,0.0,2300.73,39,1,1,1,0,wrong_item,home,0
453,10,4,1,0.4,0.1,1490.22,26,1,1,1,0,not_as_described,electronics,1
310,12,3,1,0.25,0.08333333333333333,2744.52,25,2,0,1,0,missing_item,beauty,0
143,9,4,0,0.4444444444444444,0.0,2713.27,42,1,0,2,0,not_as_described,beauty,0
1136,12,0,1,0.0,0.08333333333333333,2627.25,46,1,1,1,0,changed_mind,home,1
916,9,2,1,0.2222222222222222,0.1111111111111111,1169.38,45,1,1,1,0,damaged,grocery,0
458,18,1,3,0.05555555555555555,0.16666666666666666,2492.06,48,1,0,2,0,damaged,electronics,0
953,11,2,3,0.18181818181818182,0.2727272727272727,484.02,28,1,2,0,1,changed_mind,beauty,0
952,11,1,1,0.09090909090909091,0.09090909090909091,6245.8,42,1,0,3,1,wrong_item,beauty,0
51,19,1,1,0.05263157894736842,0.05263157894736842,778.25,38,2,2,3,0,damaged,grocery,0
604,17,3,2,0.17647058823529413,0.11764705882352941,1916.5,49,1,1,3,1,damaged,beauty,0
1037,9,1,2,0.1111111111111111,0.2222222222222222,2941.7,1,1,1,0,0,not_as_described,fashion,0
1407,12,0,1,0.0,0.08333333333333333,4160.32,14,2,1,2,0,not_as_described,home,0
527,9,1,2,0.1111111111111111,0.2222222222222222,2163.39,30,1,3,0,0,not_as_described,grocery,0
1426,9,1,1,0.1111111111111111,0.1111111111111111,2656.1,1,1,3,2,1,damaged,grocery,0
849,9,1,4,0.1111111111111111,0.4444444444444444,530.16,39,1,0,4,4,not_as_described,beauty,0
1065,16,0,4,0.0,0.25,1220.7,42,1,1,1,0,changed_mind,fashion,0
1352,14,1,1,0.07142857142857142,0.07142857142857142,526.79,37,1,0,1,1,damaged,beauty,0
1403,14,5,0,0.35714285714285715,0.0,352.11,55,1,1,1,1,changed_mind,electronics,0
374,10,2,1,0.2,0.1,2339.28,7,1,1,2,1,missing_item,home,0
1497,11,4,1,0.36363636363636365,0.09090909090909091,4951.77,15,1,0,2,1,changed_mind,home,1
479,14,0,0,0.0,0.0,2319.42,10,1,1,1,1,not_as_described,beauty,0
1244,9,0,2,0.0,0.2222222222222222,2731.86,11,1,2,1,3,not_as_described,grocery,0
1048,13,3,1,0.23076923076923078,0.07692307692307693,1201.9,12,1,0,0,1,not_as_described,fashion,1
220,13,1,3,0.07692307692307693,0.23076923076923078,7065.11,3,1,1,1,0,missing_item,home,0
1343,9,1,5,0.1111111111111111,0.5555555555555556,1862.37,50,1,2,4,0,wrong_item,electronics,0
1374,12,3,1,0.25,0.08333333333333333,1038.55,32,3,2,2,0,changed_mind,grocery,0
1265,15,3,3,0.2,0.2,1109.82,1,1,1,0,0,missing_item,beauty,0
494,11,4,0,0.36363636363636365,0.0,761.41,21,1,0,1,0,not_as_described,grocery,0
507,17,2,1,0.11764705882352941,0.058823529411764705,5439.49,4,1,2,1,1,wrong_item,electronics,0
1443,10,3,0,0.3,0.0,4367.68,29,1,4,2,1,damaged,home,0
487,10,2,3,0.2,0.3,1544.14,46,3,0,1,0,missing_item,fashion,0
894,22,5,2,0.22727272727272727,0.09090909090909091,1722.45,51,1,0,1,0,changed_mind,fashion,0
677,13,4,2,0.3076923076923077,0.15384615384615385,2156.32,19,2,2,2,0,wrong_item,fashion,0
342,10,0,1,0.0,0.1,2568.53,30,1,1,1,0,changed_mind,home,0
280,7,2,0,0.2857142857142857,0.0,682.57,6,1,0,3,1,damaged,fashion,0
936,10,0,1,0.0,0.1,634.29,6,1,2,0,1,damaged,home,0
768,7,2,0,0.2857142857142857,0.0,1952.77,44,2,1,1,0,damaged,home,1
368,17,1,1,0.058823529411764705,0.058823529411764705,1180.34,47,2,0,1,0,wrong_item,grocery,0
998,11,2,0,0.18181818181818182,0.0,929.26,57,2,2,5,0,missing_item,home,1
176,9,3,1,0.3333333333333333,0.1111111111111111,1440.6,9,1,0,0,0,damaged,grocery,0
831,18,0,0,0.0,0.0,4634.65,8,1,1,1,1,missing_item,electronics,0
947,10,1,2,0.1,0.2,2080.81,50,1,2,0,1,damaged,electronics,1
537,12,1,2,0.08333333333333333,0.16666666666666666,1444.9,46,1,2,1,1,damaged,beauty,1
872,14,0,2,0.0,0.14285714285714285,3326.18,7,2,1,1,1,damaged,fashion,0
147,5,3,1,0.6,0.2,928.75,39,1,1,1,0,not_as_described,grocery,0
831,14,1,1,0.07142857142857142,0.07142857142857142,1341.5,45,1,3,1,0,wrong_item,electronics,1
727,13,2,4,0.15384615384615385,0.3076923076923077,865.84,39,1,0,1,1,not_as_described,beauty,0
920,12,2,0,0.16666666666666666,0.0,2871.33,7,1,0,2,0,damaged,grocery,0
999,11,1,2,0.09090909090909091,0.18181818181818182,875.25,56,2,1,3,0,missing_item,electronics,0
501,10,1,3,0.1,0.3,1872.89,34,1,2,0,0,not_as_described,grocery,1
311,11,4,2,0.36363636363636365,0.18181818181818182,3707.96,41,1,1,2,0,not_as_described,grocery,0
88,14,1,1,0.07142857142857142,0.07142857142857142,2110.28,38,1,0,1,0,wrong_item,home,0
1228,11,3,1,0.2727272727272727,0.09090909090909091,460.7,19,1,0,2,1,damaged,fashion,0
1072,17,3,2,0.17647058823529413,0.11764705882352941,4732.12,56,1,1,0,1,missing_item,home,0
738,10,1,3,0.1,0.3,430.73,32,1,2,2,0,changed_mind,electronics,0
1212,10,1,1,0.1,0.1,1844.42,7,1,2,2,0,not_as_described,grocery,0
868,13,2,2,0.15384615384615385,0.15384615384615385,1382.33,35,1,2,2,0,damaged,electronics,1
878,11,3,1,0.2727272727272727,0.09090909090909091,1235.2,15,1,1,2,1,missing_item,grocery,0
160,10,4,0,0.4,0.0,764.34,27,1,2,0,0,not_as_described,grocery,0
912,20,3,2,0.15,0.1,872.18,38,1,1,0,0,changed_mind,electronics,0
1338,12,1,0,0.08333333333333333,0.0,2048.55,33,2,0,3,0,not_as_described,electronics,0
359,12,0,1,0.0,0.08333333333333333,1927.64,29,1,1,2,1,not_as_described,electronics,0
1012,9,1,3,0.1111111111111111,0.3333333333333333,1111.27,17,1,1,3,1,missing_item,grocery,1
165,14,1,0,0.07142857142857142,0.0,2439.63,32,4,0,0,1,damaged,electronics,0
1485,11,1,0,0.09090909090909091,0.0,915.73,3,1,0,1,0,changed_mind,electronics,0
1450,14,2,1,0.14285714285714285,0.07142857142857142,1970.78,23,1,0,1,0,missing_item,beauty,0
612,19,0,1,0.0,0.05263157894736842,1780.06,35,1,0,1,0,changed_mind,beauty,0
478,14,1,2,0.07142857142857142,0.14285714285714285,2593.14,8,3,1,1,1,damaged,beauty,0
394,8,1,3,0.125,0.375,7635.61,37,1,0,1,2,missing_item,beauty,0
364,11,2,1,0.18181818181818182,0.09090909090909091,860.41,41,1,1,0,0,not_as_described,beauty,0
41,15,2,1,0.13333333333333333,0.06666666666666667,2097.11,59,1,2,1,0,changed_mind,grocery,0
848,9,3,0,0.3333333333333333,0.0,1478.77,23,1,1,2,0,changed_mind,fashion,0
639,15,1,1,0.06666666666666667,0.06666666666666667,1815.1,30,1,1,1,0,missing_item,home,1
983,5,2,0,0.4,0.0,720.62,23,1,1,0,0,changed_mind,home,0
933,18,3,0,0.16666666666666666,0.0,2429.51,32,1,1,2,0,not_as_described,grocery,1
420,9,1,1,0.1111111111111111,0.1111111111111111,1801.25,36,1,2,1,0,missing_item,electronics,0
85,16,2,1,0.125,0.0625,6112.14,15,1,0,0,0,missing_item,fashion,0
1093,12,0,0,0.0,0.0,2933.35,35,1,3,0,0,damaged,beauty,0
127,13,3,3,0.23076923076923078,0.23076923076923078,835.56,58,4,1,1,1,not_as_described,beauty,0
817,13,2,2,0.15384615384615385,0.15384615384615385,2387.09,3,3,2,1,1,not_as_described,beauty,1
1404,20,1,0,0.05,0.0,1947.93,30,1,2,2,1,missing_item,electronics,0
903,21,3,3,0.14285714285714285,0.14285714285714285,1684.21,44,1,0,1,0,missing_item,electronics,0
298,7,3,0,0.42857142857142855,0.0,5657.11,54,1,2,0,0,not_as_described,grocery,0
354,7,2,0,0.2857142857142857,0.0,924.15,23,2,1,0,0,wrong_item,fashion,0
293,15,2,1,0.13333333333333333,0.06666666666666667,2209.11,14,1,1,2,0,wrong_item,fashion,0
1221,10,1,1,0.1,0.1,1527.81,3,1,3,3,0,missing_item,electronics,0
488,7,2,1,0.2857142857142857,0.14285714285714285,1038.13,6,1,0,1,0,wrong_item,electronics,1
1138,6,3,1,0.5,0.16666666666666666,1978.87,57,1,2,5,0,wrong_item,grocery,1
212,8,1,0,0.125,0.0,1180.5,16,1,0,2,0,not_as_described,fashion,0
82,10,2,1,0.2,0.1,1711.82,22,1,0,0,0,wrong_item,home,0
813,11,2,1,0.18181818181818182,0.09090909090909091,1982.73,32,1,0,1,0,damaged,beauty,1
175,14,2,1,0.14285714285714285,0.07142857142857142,705.91,26,1,0,2,0,not_as_described,beauty,0
1492,9,1,5,0.1111111111111111,0.5555555555555556,1334.11,51,1,1,2,0,missing_item,electronics,0
1065,13,3,1,0.23076923076923078,0.07692307692307693,1200.88,18,1,2,2,0,wrong_item,fashion,1
360,14,1,4,0.07142857142857142,0.2857142857142857,493.16,20,1,1,1,1,wrong_item,electronics,0
1053,9,2,2,0.2222222222222222,0.2222222222222222,1346.42,46,1,2,0,1,changed_mind,grocery,0
1428,9,4,1,0.4444444444444444,0.1111111111111111,300.0,47,3,2,0,0,missing_item,fashion,0
978,12,3,0,0.25,0.0,941.93,46,1,0,4,0,missing_item,electronics,0
764,8,0,0,0.0,0.0,7073.2,12,1,1,1,1,damaged,beauty,0
1429,6,0,0,0.0,0.0,1409.35,19,1,2,1,1,changed_mind,fashion,0
599,15,3,0,0.2,0.0,2557.44,48,1,2,1,0,not_as_described,home,0
1053,17,3,5,0.17647058823529413,0.29411764705882354,499.92,57,1,0,1,0,damaged,grocery,0
1133,16,0,1,0.0,0.0625,4585.29,11,1,1,1,0,wrong_item,electronics,0
68,8,3,0,0.375,0.0,2161.86,5,1,3,5,1,missing_item,electronics,1
1305,13,1,6,0.07692307692307693,0.46153846153846156,1373.55,49,1,3,0,1,changed_mind,electronics,1
1096,16,4,1,0.25,0.0625,1791.36,8,1,3,2,0,changed_mind,grocery,1
85,14,1,0,0.07142857142857142,0.0,956.72,51,1,1,0,2,missing_item,electronics,0
234,13,1,3,0.07692307692307693,0.23076923076923078,714.61,4,1,1,4,1,wrong_item,beauty,0
1163,7,3,0,0.42857142857142855,0.0,5266.28,48,1,1,2,1,wrong_item,grocery,1
542,15,3,0,0.2,0.0,1707.38,48,1,2,1,0,damaged,beauty,0
787,11,2,0,0.18181818181818182,0.0,1925.74,11,2,0,1,0,missing_item,home,0
274,9,1,0,0.1111111111111111,0.0,5017.47,51,3,1,2,0,wrong_item,fashion,0
665,15,4,2,0.26666666666666666,0.13333333333333333,415.23,49,2,0,2,2,not_as_described,grocery,1
1448,10,1,6,0.1,0.6,947.03,48,3,2,0,1,damaged,home,0
324,10,0,2,0.0,0.2,4461.69,43,1,1,4,0,missing_item,home,0
1247,17,2,2,0.11764705882352941,0.11764705882352941,1693.61,14,3,2,2,0,changed_mind,grocery,0
411,10,1,1,0.1,0.1,1503.02,6,1,2,0,1,wrong_item,electronics,0
189,10,0,1,0.0,0.1,2159.52,13,1,1,3,0,missing_item,fashion,0
1342,7,1,0,0.14285714285714285,0.0,2376.19,48,1,0,1,0,damaged,fashion,0
86,12,1,1,0.08333333333333333,0.08333333333333333,553.51,34,1,1,2,0,wrong_item,home,0
1114,14,6,0,0.42857142857142855,0.0,797.11,10,2,1,4,0,wrong_item,grocery,1
912,10,2,1,0.2,0.1,1803.55,59,1,0,0,0,missing_item,home,0
311,6,1,1,0.16666666666666666,0.16666666666666666,7052.48,4,1,2,3,0,damaged,electronics,1
468,13,1,4,0.07692307692307693,0.3076923076923077,597.81,44,3,3,0,0,changed_mind,home,1
229,11,4,2,0.36363636363636365,0.18181818181818182,5102.02,22,1,0,2,0,changed_mind,grocery,0
945,17,1,0,0.058823529411764705,0.0,3606.74,22,2,0,3,1,changed_mind,grocery,0
496,13,1,3,0.07692307692307693,0.23076923076923078,1529.34,35,1,0,2,1,changed_mind,fashion,0
1256,4,1,0,0.25,0.0,1156.79,1,1,1,0,1,damaged,grocery,0
1244,17,1,0,0.058823529411764705,0.0,1785.96,22,1,2,4,0,missing_item,fashion,0
303,11,2,3,0.18181818181818182,0.2727272727272727,906.19,31,2,2,0,0,changed_mind,home,1
1301,6,1,1,0.16666666666666666,0.16666666666666666,655.04,13,1,1,1,0,damaged,home,0
275,9,1,1,0.1111111111111111,0.1111111111111111,2587.37,37,1,1,0,1,missing_item,fashion,1
1011,6,2,1,0.3333333333333333,0.16666666666666666,1970.99,49,1,0,1,0,changed_mind,electronics,0
400,11,2,1,0.18181818181818182,0.09090909090909091,357.57,57,1,1,1,0,changed_mind,fashion,1
684,15,1,1,0.06666666666666667,0.06666666666666667,829.56,37,2,3,3,1,damaged,home,0
1110,13,2,2,0.15384615384615385,0.15384615384615385,532.53,50,3,0,0,1,wrong_item,electronics,0
949,16,2,0,0.125,0.0,6389.71,33,1,0,0,0,wrong_item,grocery,0
513,12,0,2,0.0,0.16666666666666666,4412.95,4,1,1,0,0,changed_mind,beauty,0
67,4,3,0,0.75,0.0,538.09,21,1,0,2,0,damaged,grocery,0
1347,17,2,2,0.11764705882352941,0.11764705882352941,1446.7,39,1,1,2,1,missing_item,grocery,0
180,10,3,0,0.3,0.0,3015.1,29,1,1,0,0,damaged,grocery,0
59,11,0,0,0.0,0.0,1578.86,53,1,1,2,2,not_as_described,fashion,0
229,16,0,0,0.0,0.0,5920.21,14,3,1,1,0,changed_mind,fashion,0
1065,12,1,0,0.08333333333333333,0.0,2619.96,22,1,3,1,0,changed_mind,fashion,0
